Name,Company,Level Audition,Re-Evaluation,note,ep2,ep4,ep6,ep10,ep12
Zhang Shuaibo,Haohan Entertainment,N,C,,71,95,100,-,-
Wan Yuchen,Huakaibanxia Cultural Media,C,B,,72,72,63,44,43
Chen Xuanxiao,Shaoyun Music Entertainment,N,N,,73,81,95,-,-
Yang Haojun,Mountain Top Entertainment,N,N,,74,96,106,-,-
Wei Xingcheng,Huayi Brothers Fashion,N,C,,75,70,77,26,39
Chen Jinxin,Yaoxing Culture,B,B,,76,86,102,-,-
Xu Zhuolun,Shujin Television,C,C,,77,61,50,52,53
Lin Yiming,Qin’s Entertainment,C,N,,78,74,80,-,-
Li Yuan,Simply Joy Music,N,N,,79,94,97,-,-
Li Shuo,Black Gold Entertainment,C,N,,80,69,88,-,-
Xu Bin,Spectrum Entertainment,N,N,,81,64,92,-,-
Feng Chen Sinan,Qin’s Entertainment,B,B,,82,75,89,-,-
Zhou Zijie,Mavericks Entertainment,C,C,,83,55,46,41,56
Wei Hongyu,Big Face Entertainment,A,N,,84,4,4,6,32
Mu Sen,Star Master Entertainment,C,C,,85,87,93,-,-
Liu Fenglei,Nuclear Fire Media,N,N,,86,105,86,-,-
Ke’er Lijun,Star Master Entertainment,B,B,,87,93,36,40,46
Fu Xueyan,KSS Entertainment,C,N,,88,79,79,-,-
Li Tianqi,D.Wang Entertainment,B,B,,89,103,112,-,-
Xiao He,Jisheng Culture,N,N,,90,44,48,-,-
Zhong Fulin,Chin Entertainment,N,N,,91,71,59,-,-
Li Haolin,Super Idol,C,B,,92,111,87,-,-
Xu Ziwei,Avex China,A,C,,93,25,15,13,29
Han Ruize,Huakaibanxia Cultural Media,C,N,,94,88,75,58,60
Duan Xingxing / X,M-Nation,A,A,,95,23,21,18,10
Huang He,Super Idol,C,B,,96,100,84,-,-
Liu Qi,Yihua Entertainment,C,C,,97,76,52,-,-
Jiang Zhihao,Youhug Media,C,C,,98,107,114,-,-
Zhong Zhuorong,Why Entertainment,C,N,,99,91,99,-,-
Zhe Ye,Star Master Entertainment,B,B,,100,108,90,-,-
Shi An,Mantra Pictures,N,N,,101,113,116,-,-
Xuan Hao,Show City Times,C,C,,102,77,62,-,-
Chen Zilong,Dong Nage Dong,N,N,,103,114,113,-,-
Li Tianyi,Haohan Entertainment,N,N,,104,118,73,-,-
Tang Jiaqi,Show City Times,B,B,,105,62,49,-,-
Zhan Zhan,Nuclear Fire Media,C,C,,106,117,109,-,-
Kong Xiangchi,Youhug Entertainment,C,C,,107,109,105,-,-
Hu Xuanhao,Gramerie Entertainment,N,B,,108,110,101,-,-
Wu Yue,Original stone music & Aif entertainment,C,C,,109,101,108,-,-
Li Zichen,D.Wang Entertainment,C,C,,110,116,117,-,-
Shi Shang,Star Master Entertainment,B,B,,111,106,103,-,-
Zhao Mingxuan,D.Wang Entertainment,C,C,,112,115,118,-,-
Fang Zheng,STF Entertainment,C,B,,113,112,83,-,-
Yang Boni,Live Nation,N,C,,114,104,111,-,-
Yang Yuehan,Live Nation,B,C,,115,92,98,-,-
Cao Yuxue,D.Wang Entertainment,C,C,,116,102,115,-,-
Yang Zhixiang,STF Entertainment,B,A,,117,90,91,-,-
Ke Er,ChengMeng Culture,N,N,,118,48,58,49,41
